 a 	c
http://de.dbpedia.org/resource/Hiram_Maxim 	"128466308"@de
http://de.dbpedia.org/resource/Hans_Eichel 	"110718119"@de
http://de.dbpedia.org/resource/Hesiod 	"118550292"@de
http://de.dbpedia.org/resource/H._G._Wells 	"118643266"@de
http://de.dbpedia.org/resource/Immanuel_Kant 	"118559796"@de
http://de.dbpedia.org/resource/Isaac_Newton 	"118587544"@de
http://de.dbpedia.org/resource/Ignaz_Semmelweis 	"118613138"@de
http://de.dbpedia.org/resource/Isaac_Asimov 	"118646109"@de
http://de.dbpedia.org/resource/John_Cassavetes 	"118519484"@de
http://de.dbpedia.org/resource/Joe_D’Amato 	"122245237"@de
http://de.dbpedia.org/resource/Jonathan_Demme 	"119119374"@de
http://de.dbpedia.org/resource/John_Ford 	"118534319"@de
http://de.dbpedia.org/resource/John_Irving 	"119049708"@de
http://de.dbpedia.org/resource/James_Gandolfini 	"136495699"@de
http://de.dbpedia.org/resource/Joschka_Fischer 	"118821660"@de
http://de.dbpedia.org/resource/Isabel_Allende 	"118869159"@de
http://de.dbpedia.org/resource/Jelly_Roll_Morton 	"118737031"@de
http://de.dbpedia.org/resource/Jean_Paul_Marat 	"118577441"@de
http://de.dbpedia.org/resource/Jean-Jacques_Annaud 	"11909794X"@de
http://de.dbpedia.org/resource/Jacques_Rivette 	"119056224"@de
http://de.dbpedia.org/resource/Joe_Dante 	"120895927"@de
http://de.dbpedia.org/resource/Jim_Jarmusch 	"120820366"@de
http://de.dbpedia.org/resource/Jules_Dassin 	"12402551X"@de
http://de.dbpedia.org/resource/James_L._Brooks 	"129592684"@de
http://de.dbpedia.org/resource/James_Cameron 	"119066890"@de
http://de.dbpedia.org/resource/Jean-Luc_Godard 	"118540009"@de
http://de.dbpedia.org/resource/Jack_Nicholson 	"118587633"@de
http://de.dbpedia.org/resource/John_G._Avildsen 	"131597264"@de
http://de.dbpedia.org/resource/James_Joyce 	"118558501"@de
http://de.dbpedia.org/resource/Joachim_Gauck 	"119323710"@de
http://de.dbpedia.org/resource/Jean_Paul 	"118557211"@de
http://de.dbpedia.org/resource/Jacqueline_Bisset 	"131600273"@de
http://de.dbpedia.org/resource/Jonathan_Carroll 	"119137054"@de
http://de.dbpedia.org/resource/Julia_Roberts 	"119077744"@de
http://de.dbpedia.org/resource/Jim_Carrey 	"12281651X"@de
http://de.dbpedia.org/resource/Jassir_Arafat 	"118503766"@de
http://de.dbpedia.org/resource/Johann_Gottlieb_Fichte 	"118532847"@de
http://de.dbpedia.org/resource/Johann_Christoph_Adelung 	"118500651"@de
http://de.dbpedia.org/resource/John_Coltrane 	"118521667"@de
http://de.dbpedia.org/resource/Joe_Zawinul 	"119286386"@de
http://de.dbpedia.org/resource/Jean-Pierre_Jeunet 	"124120849"@de
http://de.dbpedia.org/resource/Johann_Wolfgang_von_Goethe 	"118540238"@de
